time,id,lat,threshold_l
1685691563489784,SUB2,651,300
1685691563489907,SUB3,632,300
1685691568496626,SUB2,518,300
1685691568496689,SUB3,429,300
1685691573503726,SUB2,581,300
1685691573503792,SUB3,462,300
1685691578510741,SUB2,577,300
1685691578510818,SUB3,495,300
1685691583517774,SUB2,500,300
1685691583517863,SUB3,471,300
1685691588524770,SUB2,780,300
1685691588524861,SUB3,692,300
1685691593531907,SUB2,576,300
1685691593531997,SUB3,488,300
1685691598539108,SUB2,729,300
1685691598539205,SUB3,657,300
1685691603545806,SUB2,787,300
1685691603545925,SUB3,700,300
1685691608551884,SUB2,610,300
1685691608551956,SUB3,528,300
1685691613557660,SUB2,732,300
1685691613557759,SUB3,662,300
1685691618564656,SUB2,865,300
1685691618564734,SUB3,787,300
1685691623570511,SUB2,200,300
1685691623570535,SUB3,167,300
1685691628576033,SUB2,200,300
1685691628576056,SUB3,164,300
1685691633582810,SUB2,614,300
1685691633582874,SUB3,445,300
1685691638589256,SUB2,528,300
1685691638589322,SUB3,439,300
1685691643595601,SUB2,245,300
1685691643595640,SUB3,197,300
1685691648603076,SUB2,692,300
1685691648603142,SUB3,544,300
1685691653610264,SUB2,556,300
1685691653610331,SUB3,468,300
1685691658616659,SUB2,571,300
1685691658616724,SUB3,459,300
1685691663623563,SUB2,566,300
1685691663623635,SUB3,456,300
1685691668628973,SUB2,202,300
1685691668628997,SUB3,164,300
1685691673634507,SUB2,269,300
1685691673634554,SUB3,241,300
1685691678640547,SUB2,568,300
1685691678640618,SUB3,486,300
1685691683646751,SUB2,302,300
1685691683646788,SUB3,253,300
1685691688652920,SUB2,167,300
1685691688652935,SUB3,131,300
1685691693659562,SUB2,548,300
1685691693659631,SUB3,438,300
1685691698663843,SUB2,134,300
1685691698663871,SUB3,115,300
1685691703670471,SUB2,453,300
1685691703670564,SUB3,430,300
1685691708676674,SUB2,227,300
1685691708676697,SUB3,174,300
1685691713681862,SUB2,129,300
1685691713681874,SUB3,97,300
1685691718687103,SUB2,130,300
1685691718687115,SUB3,90,300
1685691723691800,SUB2,167,300
1685691723691828,SUB3,130,300
