time,id,storage
1685691193020116,SUB11,0
1685691193020223,SUB12,3
1685691193020418,SUB2,0
1685691193020496,SUB3,0
1685691193020570,SUB4,1
1685691193020651,SUB5,2
1685691193020731,SUB11,0
1685691193020805,SUB12,3
1685691193669607,SUB3,0
1685691193669796,SUB8,0
1685691193669919,SUB11,0
1685691193670032,SUB12,3
1685691193670161,SUB13,0
1685691194672698,SUB4,2
1685691194672766,SUB9,0
1685691194672805,SUB11,0
1685691194672816,SUB12,4
1685691194672853,SUB13,0
1685691195677916,SUB5,3
1685691195678518,SUB10,0
1685691195678780,SUB11,0
1685691195678799,SUB12,5
1685691195679043,SUB13,0
1685691197686326,SUB11,0
1685691197686432,SUB12,5
1685691197686540,SUB13,0
1685691198025032,SUB2,0
1685691198025162,SUB3,0
1685691198025295,SUB4,2
1685691198025411,SUB5,3
1685691198025499,SUB11,0
1685691198025572,SUB12,5
1685691198025724,SUB2,0
1685691198025782,SUB3,0
1685691198025835,SUB4,2
1685691198025889,SUB5,3
1685691198025973,SUB11,0
1685691198026038,SUB12,5
1685691198689340,SUB2,0
1685691198689382,SUB7,0
1685691198689401,SUB11,0
1685691198689426,SUB12,5
1685691198689450,SUB13,0
1685691199693164,SUB3,0
1685691199693322,SUB8,0
1685691199693455,SUB11,0
1685691199693541,SUB12,5
1685691199693633,SUB13,0
1685691200696855,SUB4,3
1685691200697137,SUB9,0
1685691200697302,SUB11,0
1685691200697344,SUB12,6
1685691200697515,SUB13,0
1685691201700555,SUB5,4
1685691201701120,SUB10,0
1685691201701382,SUB11,0
1685691201701392,SUB12,7
1685691201701640,SUB13,0
1685691203031629,SUB2,0
1685691203031789,SUB3,0
1685691203031863,SUB4,3
1685691203031944,SUB5,4
1685691203032029,SUB11,0
1685691203032110,SUB12,7
1685691203032334,SUB2,0
1685691203032391,SUB3,0
1685691203032444,SUB4,3
1685691203032521,SUB5,4
1685691203032580,SUB11,0
1685691203032650,SUB12,7
1685691203709560,SUB11,0
1685691203709715,SUB12,7
1685691203709847,SUB13,0
1685691204712913,SUB2,0
1685691204713069,SUB7,0
1685691204713192,SUB11,0
1685691204713332,SUB12,7
1685691204713422,SUB13,0
1685691205715962,SUB3,0
1685691205716003,SUB8,0
1685691205716026,SUB11,0
1685691205716050,SUB12,7
1685691205716074,SUB13,0
1685691206719839,SUB4,4
1685691206719924,SUB9,0
1685691206719955,SUB11,0
1685691206719963,SUB12,8
1685691206719991,SUB13,0
1685691207724352,SUB5,5
1685691207724997,SUB10,0
1685691207725242,SUB11,0
1685691207725251,SUB12,9
1685691207725458,SUB13,0
1685691208038208,SUB2,0
1685691208038342,SUB3,0
1685691208038420,SUB4,4
1685691208038506,SUB5,5
1685691208038593,SUB11,0
1685691208038700,SUB12,9
1685691208038858,SUB2,0
1685691208038921,SUB3,0
1685691208038979,SUB4,4
1685691208039041,SUB5,5
1685691208039105,SUB11,0
1685691208039175,SUB12,9
1685691209732731,SUB11,0
1685691209732827,SUB12,9
1685691209732858,SUB13,0
1685691210736138,SUB2,0
1685691210736291,SUB7,0
1685691210736377,SUB11,0
1685691210736472,SUB12,9
1685691210736504,SUB13,0
1685691211739654,SUB3,0
1685691211739812,SUB8,0
1685691211739907,SUB11,0
1685691211739994,SUB12,9
1685691211740170,SUB13,0
1685691212742745,SUB4,5
1685691212742847,SUB9,0
1685691212742878,SUB11,0
1685691212742886,SUB12,10
1685691212742914,SUB13,0
1685691213043978,SUB2,0
1685691213044101,SUB3,0
1685691213044181,SUB4,5
1685691213044271,SUB5,5
1685691213044382,SUB11,0
1685691213044457,SUB12,10
1685691213044620,SUB2,0
1685691213044681,SUB3,0
1685691213044738,SUB4,5
1685691213044801,SUB5,5
1685691213044865,SUB11,0
1685691213044935,SUB12,10
1685691213747812,SUB5,6
1685691213748333,SUB10,0
1685691213748544,SUB11,0
1685691213748552,SUB12,11
1685691213748750,SUB13,0
1685691215756100,SUB11,0
1685691215756299,SUB12,11
1685691215756416,SUB13,0
1685691216759233,SUB2,0
1685691216759265,SUB7,0
1685691216759306,SUB11,0
1685691216759328,SUB12,10
1685691216759360,SUB13,0
1685691217762396,SUB3,0
1685691217762457,SUB8,0
1685691217762508,SUB11,0
1685691217762527,SUB12,10
1685691217762545,SUB13,0
1685691218050123,SUB2,0
1685691218050384,SUB3,0
1685691218050474,SUB4,5
1685691218050563,SUB5,6
1685691218050669,SUB11,0
1685691218050750,SUB12,10
1685691218050917,SUB2,0
1685691218050973,SUB3,0
1685691218051027,SUB4,5
1685691218051085,SUB5,5
1685691218052255,SUB11,0
1685691218052311,SUB12,10
1685691218766664,SUB4,6
1685691218766898,SUB9,0
1685691218766938,SUB11,1
1685691218766968,SUB12,11
1685691218767154,SUB13,0
1685691219771045,SUB5,6
1685691219771566,SUB10,0
1685691219771626,SUB11,2
1685691219771647,SUB12,12
1685691219772096,SUB13,0
1685691221773700,SUB11,2
1685691221773784,SUB12,11
1685691221773814,SUB13,0
1685691222778968,SUB2,0
1685691222779118,SUB7,0
1685691222779206,SUB11,2
1685691222779323,SUB12,10
1685691222779419,SUB13,0
1685691223055532,SUB2,0
1685691223055652,SUB3,0
1685691223055736,SUB4,6
1685691223055845,SUB5,6
1685691223056078,SUB11,2
1685691223056161,SUB12,10
1685691223056319,SUB2,0
1685691223056401,SUB3,0
1685691223056455,SUB4,5
1685691223056660,SUB5,5
1685691223057703,SUB11,2
1685691223057797,SUB12,10
1685691223777315,SUB3,0
1685691223777343,SUB8,0
1685691223777371,SUB11,2
1685691223777408,SUB12,10
1685691223777433,SUB13,0
1685691224778316,SUB4,6
1685691224778382,SUB9,0
1685691224778394,SUB11,3
1685691224778408,SUB12,11
1685691224778449,SUB13,0
1685691225780515,SUB5,6
1685691225780816,SUB10,0
1685691225780838,SUB11,4
1685691225780863,SUB12,12
1685691225781127,SUB13,0
1685691227782253,SUB11,4
1685691227782307,SUB12,11
1685691227782339,SUB13,0
1685691228061394,SUB2,0
1685691228061517,SUB3,0
1685691228061594,SUB4,6
1685691228061696,SUB5,6
1685691228061792,SUB11,4
1685691228061869,SUB12,10
1685691228062055,SUB2,0
1685691228062111,SUB3,0
1685691228062163,SUB4,5
1685691228062358,SUB5,5
1685691228063412,SUB11,4
1685691228063503,SUB12,10
1685691228783349,SUB2,0
1685691228783384,SUB7,0
1685691228783403,SUB11,4
1685691228783427,SUB12,10
1685691228783470,SUB13,0
1685691229788781,SUB3,0
1685691229788846,SUB8,0
1685691229788882,SUB11,4
1685691229788900,SUB12,10
1685691229788928,SUB13,0
1685691230787845,SUB4,6
1685691230787901,SUB9,0
1685691230787910,SUB11,5
1685691230787918,SUB12,11
1685691230787962,SUB13,0
1685691231790341,SUB5,6
1685691231790589,SUB10,0
1685691231790607,SUB11,6
1685691231790622,SUB12,12
1685691231790942,SUB13,0
1685691233068885,SUB2,0
1685691233069017,SUB3,0
1685691233069148,SUB4,6
1685691233069289,SUB5,6
1685691233069384,SUB11,6
1685691233069625,SUB12,11
1685691233069791,SUB2,0
1685691233069847,SUB3,0
1685691233069899,SUB4,5
1685691233070076,SUB5,5
1685691233071036,SUB11,6
1685691233071130,SUB12,10
1685691233801578,SUB11,6
1685691233801637,SUB12,10
1685691233801655,SUB13,0
1685691234800496,SUB2,0
1685691234800531,SUB7,0
1685691234800580,SUB11,6
1685691234800627,SUB12,10
1685691234800653,SUB13,0
1685691235801673,SUB3,0
1685691235801707,SUB8,0
1685691235801731,SUB11,6
1685691235801766,SUB12,10
1685691235801793,SUB13,0
1685691236803009,SUB4,6
1685691236803087,SUB9,0
1685691236803098,SUB11,7
1685691236803109,SUB12,11
1685691236803160,SUB13,0
1685691237815049,SUB5,6
1685691237815891,SUB10,0
1685691237815942,SUB11,8
1685691237815983,SUB12,12
1685691237816728,SUB13,0
1685691238075746,SUB2,0
1685691238075826,SUB3,0
1685691238075878,SUB4,6
1685691238075942,SUB5,6
1685691238075997,SUB11,8
1685691238076124,SUB12,11
1685691238076353,SUB2,0
1685691238076419,SUB3,0
1685691238076467,SUB4,5
1685691238076592,SUB5,6
1685691238076633,SUB11,8
1685691238079173,SUB12,11
1685691239810282,SUB11,0
1685691239810323,SUB12,0
1685691239810367,SUB13,0
1685691240815724,SUB2,0
1685691240815854,SUB7,0
1685691240815947,SUB11,0
1685691240816134,SUB12,0
1685691240816256,SUB13,0
1685691241815199,SUB3,0
1685691241815250,SUB8,0
1685691241815296,SUB11,0
1685691241815331,SUB12,0
1685691241815361,SUB13,0
1685691242820196,SUB4,6
1685691242820292,SUB9,0
1685691242820359,SUB11,0
1685691242820423,SUB12,0
1685691242820486,SUB13,0
1685691243082807,SUB2,0
1685691243082932,SUB3,0
1685691243083008,SUB4,6
1685691243083098,SUB5,6
1685691243083228,SUB11,0
1685691243083300,SUB12,0
1685691243083440,SUB2,0
1685691243083535,SUB3,0
1685691243083590,SUB4,6
1685691243083650,SUB5,5
1685691243084644,SUB11,0
1685691243084713,SUB12,0
1685691243825534,SUB5,6
1685691243826101,SUB10,0
1685691243826122,SUB11,1
1685691243826129,SUB12,1
1685691243826327,SUB13,0
1685691245829022,SUB11,1
1685691245829101,SUB12,1
1685691245829156,SUB13,0
1685691246833430,SUB2,0
1685691246833546,SUB7,0
1685691246833664,SUB11,1
1685691246833749,SUB12,1
1685691246833826,SUB13,0
1685691247832758,SUB3,0
1685691247832801,SUB8,0
1685691247832832,SUB11,1
1685691247832865,SUB12,1
1685691247832895,SUB13,0
1685691248087934,SUB2,0
1685691248088073,SUB3,0
1685691248088154,SUB4,6
1685691248088252,SUB5,6
1685691248088346,SUB11,1
1685691248088420,SUB12,1
1685691248088586,SUB2,0
1685691248088644,SUB3,0
1685691248088697,SUB4,5
1685691248088914,SUB5,5
1685691248090045,SUB11,1
1685691248090103,SUB12,1
1685691248838649,SUB4,6
1685691248838874,SUB9,0
1685691248838913,SUB11,2
1685691248838945,SUB12,2
1685691248839088,SUB13,0
1685691249842778,SUB5,6
1685691249843356,SUB10,0
1685691249843382,SUB11,3
1685691249843404,SUB12,3
1685691249843685,SUB13,0
1685691251851552,SUB11,3
1685691251851678,SUB12,3
1685691251851760,SUB13,0
1685691252850959,SUB2,0
